==== This output can be found in Systems/dx979/os/errpt-d_H.txt ====
==== START errpt -d H Tue Jul  7 00:29:08 GST 2015 ====
C6E26F3B   0508044615 I H hdisk237       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk234       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk163       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk162       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk150       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk220       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk222       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk219       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk146       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk226       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk159       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk232       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk153       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk223       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk155       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk221       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk231       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk157       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk152       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk227       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk148       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk225       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk228       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk149       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk224       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk151       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk229       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk158       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk230       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk233       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk147       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk145       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk218       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk156       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk154       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk144       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk173       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk170       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk241       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk243       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk169       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk242       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk168       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk167       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk240       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk166       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk245       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk171       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk378       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk353       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk2         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk0         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk380       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk175       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk433       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk354       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk377       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk362       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk21        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk375       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk359       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk379       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk174       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk431       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk383       BACK-UP PATH STATUS CHANGE
3767AAFF   0508035115 I H hdisk421       BACK-UP PATH INOPERATIVE
516A2BC4   0508035115 P H hdisk421       CONNECTION FAILURE
3767AAFF   0508035115 I H hdisk246       BACK-UP PATH INOPERATIVE
516A2BC4   0508035115 P H hdisk246       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk423       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk8         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk250       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk176       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk177       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk251       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk11        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk1         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk247       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk3         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk422       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk432       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk172       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk160       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk236       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk235       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk165       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk239       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk164       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk161       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk238       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk237       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk234       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk163       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk162       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk150       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk220       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk222       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk219       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk146       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk226       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk159       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk232       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk153       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk223       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk155       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk221       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk231       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk157       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk152       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk227       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk148       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk225       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk228       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk149       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk224       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk151       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk229       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk158       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk230       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk233       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk147       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk145       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk218       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk156       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk154       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk144       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk173       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk170       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk241       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk243       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk169       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk242       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk168       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk167       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk240       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk166       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk245       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk171       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk378       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk353       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk2         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk0         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk380       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk175       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk433       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk354       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk377       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk362       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk21        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk375       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk359       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk379       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk174       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk357       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk431       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk383       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk355       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk385       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk13        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk249       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk356       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk248       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk358       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk18        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk14        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk382       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk363       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk20        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk451       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk453       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk360       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk384       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk19        CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk161       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk376       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk361       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk145       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk153       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk153       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk153       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk153       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk156       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk157       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk157       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk157       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk157       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk158       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk159       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk176       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk381       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk148       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk8         DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk8         DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk8         DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk223       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk223       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk228       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk229       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk230       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk233       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk237       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk238       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk239       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk147       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk149       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk149       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk154       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk155       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk222       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk155       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk163       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk164       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk164       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk244       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk150       DISK OPERATION ERROR
D5676F6F   0508035115 T H fscsi14        ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508035115 T H fscsi11        ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508034015 I H hdisk47        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk31        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk37        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk394       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk49        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk386       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk48        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk392       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk46        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk35        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk40        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk390       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk43        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk389       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk50        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk442       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk38        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk282       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk42        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk33        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk36        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk275       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk59        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk324       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk67        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk323       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk325       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk66        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk448       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk328       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk29        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk322       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk412       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk28        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk321       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk330       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk320       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk414       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk25        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk327       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk329       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk326       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk63        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk60        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk27        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk277       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk279       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034015 I H hdisk62        BACK-UP PATH STATUS CHANGE
