==== This output can be found in Systems/dx1010/vio/VIOCLI_lsdev-virtual.txt ====
==== START $VIOCLI lsdev -virtual Tue Jul  7 13:20:24 CDT 2015 ====
vtscsi4          Available   Virtual Target Device - Logical Volume
vtscsi5          Available   Virtual Target Device - Logical Volume
vtscsi6          Available   Virtual Target Device - Disk
vtscsi7          Available   Virtual Target Device - Disk
vtscsi8          Available   Virtual Target Device - Disk
vtscsi9          Available   Virtual Target Device - Disk
vtscsi10         Available   Virtual Target Device - Disk
vtscsi11         Available   Virtual Target Device - Disk
vtscsi12         Available   Virtual Target Device - Disk
vtscsi13         Available   Virtual Target Device - Disk
vtscsi14         Available   Virtual Target Device - Disk
vtscsi15         Available   Virtual Target Device - Disk
vtscsi16         Available   Virtual Target Device - Disk
vtscsi17         Available   Virtual Target Device - Disk
vtscsi18         Available   Virtual Target Device - Disk
vtscsi19         Available   Virtual Target Device - Disk
vtscsi20         Available   Virtual Target Device - Disk
vtscsi21         Available   Virtual Target Device - Disk
vtscsi22         Available   Virtual Target Device - Disk
vtscsi23         Available   Virtual Target Device - Disk
vtscsi24         Available   Virtual Target Device - Disk
vtscsi25         Available   Virtual Target Device - Disk
vtscsi26         Available   Virtual Target Device - Disk
vtscsi27         Available   Virtual Target Device - Disk
vtscsi28         Available   Virtual Target Device - Disk
vtscsi29         Available   Virtual Target Device - Disk
vtscsi30         Available   Virtual Target Device - Disk
vtscsi31         Available   Virtual Target Device - Disk
vtscsi32         Available   Virtual Target Device - Disk
vtscsi33         Available   Virtual Target Device - Disk
vtscsi34         Available   Virtual Target Device - Disk
vtscsi35         Available   Virtual Target Device - Disk
vtscsi36         Available   Virtual Target Device - Disk
vtscsi37         Available   Virtual Target Device - Disk
vtscsi38         Available   Virtual Target Device - Disk
vtscsi39         Available   Virtual Target Device - Disk
vtscsi40         Available   Virtual Target Device - Disk
vtscsi41         Available   Virtual Target Device - Disk
vtscsi42         Available   Virtual Target Device - Disk
vtscsi43         Available   Virtual Target Device - Disk
vtscsi44         Available   Virtual Target Device - Disk
vtscsi45         Available   Virtual Target Device - Disk
vtscsi46         Available   Virtual Target Device - Disk
vtscsi47         Available   Virtual Target Device - Disk
vtscsi48         Available   Virtual Target Device - Disk
vtscsi49         Available   Virtual Target Device - Disk
vtscsi50         Available   Virtual Target Device - Disk
vtscsi51         Available   Virtual Target Device - Disk
vtscsi52         Available   Virtual Target Device - Disk
vtscsi53         Available   Virtual Target Device - Disk
vtscsi54         Available   Virtual Target Device - Disk
vtscsi55         Available   Virtual Target Device - Disk
vtscsi56         Available   Virtual Target Device - Disk
vtscsi57         Available   Virtual Target Device - Disk
vtscsi58         Available   Virtual Target Device - Disk
vtscsi59         Available   Virtual Target Device - Disk
vtscsi60         Available   Virtual Target Device - Disk
vtscsi61         Available   Virtual Target Device - Disk
vtscsi62         Available   Virtual Target Device - Disk
vtscsi63         Available   Virtual Target Device - Disk
vtscsi64         Available   Virtual Target Device - Disk
vtscsi65         Available   Virtual Target Device - Disk
vtscsi66         Available   Virtual Target Device - Disk
vtscsi67         Available   Virtual Target Device - Disk
vtscsi68         Available   Virtual Target Device - Disk
vtscsi69         Available   Virtual Target Device - Disk
vtscsi70         Available   Virtual Target Device - Disk
vtscsi71         Available   Virtual Target Device - Disk
vtscsi72         Available   Virtual Target Device - Disk
vtscsi73         Available   Virtual Target Device - Disk
vtscsi74         Available   Virtual Target Device - Disk
vtscsi75         Available   Virtual Target Device - Disk
vtscsi76         Available   Virtual Target Device - Disk
vtscsi77         Available   Virtual Target Device - Disk
vtscsi78         Available   Virtual Target Device - Disk
vtscsi79         Available   Virtual Target Device - Disk
vtscsi80         Available   Virtual Target Device - Disk
vtscsi81         Available   Virtual Target Device - Disk
vtscsi82         Available   Virtual Target Device - Disk
vtscsi83         Available   Virtual Target Device - Disk
vtscsi84         Available   Virtual Target Device - Disk
vtscsi85         Available   Virtual Target Device - Disk
vtscsi86         Available   Virtual Target Device - Disk
vtscsi87         Available   Virtual Target Device - Disk
vtscsi88         Available   Virtual Target Device - Disk
vtscsi89         Available   Virtual Target Device - Disk
vtscsi90         Available   Virtual Target Device - Disk
vtscsi91         Available   Virtual Target Device - Disk
vtscsi92         Available   Virtual Target Device - Disk
vtscsi93         Available   Virtual Target Device - Disk
vtscsi94         Available   Virtual Target Device - Disk
vtscsi95         Available   Virtual Target Device - Disk
vtscsi96         Available   Virtual Target Device - Disk
vtscsi97         Available   Virtual Target Device - Disk
vtscsi98         Available   Virtual Target Device - Disk
vtscsi99         Available   Virtual Target Device - Disk
vtscsi100        Available   Virtual Target Device - Disk
vtscsi101        Available   Virtual Target Device - Disk
vtscsi102        Available   Virtual Target Device - Disk
vtscsi103        Available   Virtual Target Device - Disk
vtscsi104        Available   Virtual Target Device - Disk
vtscsi105        Available   Virtual Target Device - Disk
vtscsi106        Available   Virtual Target Device - Disk
vtscsi107        Available   Virtual Target Device - Disk
vtscsi109        Available   Virtual Target Device - Disk
vtscsi110        Available   Virtual Target Device - Disk
vtscsi111        Available   Virtual Target Device - Disk
vtscsi112        Available   Virtual Target Device - Disk
vtscsi113        Available   Virtual Target Device - Disk
vtscsi114        Available   Virtual Target Device - Disk
vtscsi115        Available   Virtual Target Device - Disk
vtscsi116        Available   Virtual Target Device - Disk
vtscsi117        Available   Virtual Target Device - Disk
vtscsi118        Available   Virtual Target Device - Disk
vtscsi119        Available   Virtual Target Device - Disk
vtscsi120        Available   Virtual Target Device - Disk
vtscsi121        Available   Virtual Target Device - Disk
vtscsi122        Available   Virtual Target Device - Disk
vtscsi123        Available   Virtual Target Device - Disk
vtscsi124        Available   Virtual Target Device - Disk
vtscsi125        Available   Virtual Target Device - Disk
vtscsi126        Available   Virtual Target Device - Disk
vtscsi127        Available   Virtual Target Device - Disk
vtscsi128        Available   Virtual Target Device - Disk
vtscsi129        Available   Virtual Target Device - Disk
vtscsi130        Available   Virtual Target Device - Disk
vtscsi141        Available   Virtual Target Device - Disk
vtscsi142        Available   Virtual Target Device - Disk
vtscsi143        Available   Virtual Target Device - Disk
vtscsi144        Available   Virtual Target Device - Disk
vtscsi145        Available   Virtual Target Device - Disk
vtscsi146        Available   Virtual Target Device - Disk
vtscsi147        Available   Virtual Target Device - Disk
vtscsi148        Available   Virtual Target Device - Disk
vtscsi149        Available   Virtual Target Device - Disk
vtscsi150        Available   Virtual Target Device - Disk
vtscsi151        Available   Virtual Target Device - Disk
vtscsi152        Available   Virtual Target Device - Disk
vtscsi153        Available   Virtual Target Device - Disk
vtscsi154        Available   Virtual Target Device - Disk
vtscsi155        Available   Virtual Target Device - Disk
vtscsi156        Available   Virtual Target Device - Disk
vtscsi157        Available   Virtual Target Device - Disk
vtscsi158        Available   Virtual Target Device - Disk
vtscsi159        Available   Virtual Target Device - Disk
vtscsi160        Available   Virtual Target Device - Disk
vtscsi161        Available   Virtual Target Device - Disk
vtscsi162        Available   Virtual Target Device - Disk
vtscsi163        Available   Virtual Target Device - Disk
vtscsi164        Available   Virtual Target Device - Disk
vtscsi165        Available   Virtual Target Device - Disk
vtscsi166        Available   Virtual Target Device - Disk
vtscsi167        Available   Virtual Target Device - Disk
vtscsi168        Available   Virtual Target Device - Disk
vtscsi169        Available   Virtual Target Device - Disk
vtscsi170        Available   Virtual Target Device - Disk
vtscsi171        Available   Virtual Target Device - Disk
vtscsi172        Available   Virtual Target Device - Disk
vtscsi173        Available   Virtual Target Device - Disk
vtscsi174        Available   Virtual Target Device - Disk
vtscsi175        Available   Virtual Target Device - Disk
vtscsi176        Available   Virtual Target Device - Disk
vtscsi177        Available   Virtual Target Device - Disk
vtscsi178        Available   Virtual Target Device - Disk
vtscsi179        Available   Virtual Target Device - Disk
vtscsi180        Available   Virtual Target Device - Disk
vtscsi181        Available   Virtual Target Device - Disk
vtscsi182        Available   Virtual Target Device - Disk
vtscsi183        Available   Virtual Target Device - Disk
vtscsi184        Available   Virtual Target Device - Disk
vtscsi185        Available   Virtual Target Device - Disk
vtscsi186        Available   Virtual Target Device - Disk
vtscsi187        Available   Virtual Target Device - Disk
vtscsi188        Available   Virtual Target Device - Disk
vtscsi189        Available   Virtual Target Device - Disk
vtscsi190        Available   Virtual Target Device - Disk
vtscsi191        Available   Virtual Target Device - Disk
vtscsi192        Available   Virtual Target Device - Disk
vtscsi193        Available   Virtual Target Device - Disk
vtscsi194        Available   Virtual Target Device - Disk
vtscsi195        Available   Virtual Target Device - Disk
vtscsi196        Available   Virtual Target Device - Disk
vtscsi197        Available   Virtual Target Device - Disk
vtscsi198        Available   Virtual Target Device - Disk
vtscsi199        Available   Virtual Target Device - Disk
vtscsi200        Available   Virtual Target Device - Disk
vtscsi201        Available   Virtual Target Device - Disk
vtscsi202        Available   Virtual Target Device - Disk
vtscsi203        Available   Virtual Target Device - Disk
vtscsi204        Available   Virtual Target Device - Disk
vtscsi205        Available   Virtual Target Device - Disk
vtscsi206        Available   Virtual Target Device - Disk
vtscsi207        Available   Virtual Target Device - Disk
vtscsi208        Available   Virtual Target Device - Disk
vtscsi209        Available   Virtual Target Device - Disk
vtscsi210        Available   Virtual Target Device - Disk
vtscsi211        Available   Virtual Target Device - Disk
vtscsi212        Available   Virtual Target Device - Disk
vtscsi213        Available   Virtual Target Device - Disk
vtscsi214        Available   Virtual Target Device - Disk
vtscsi215        Available   Virtual Target Device - Disk
vtscsi216        Available   Virtual Target Device - Disk
ent16            Available   EtherChannel / IEEE 802.3ad Link Aggregation
ent17            Available   Shared Ethernet Adapter
pkcs11           Available   ACF/PKCS#11 Device
==== EXITED with rc 0 ====
==== END $VIOCLI lsdev -virtual Tue Jul  7 13:20:24 CDT 2015 ====
